,Tipo de delito,GRAND TOTAL,percentage
15,Violencia familiar,1167905.0,9.7
7,Incumplimiento de obligaciones de asistencia familiar,149771.0,1.2
1,Abuso sexual,119285.0,1.0
8,Otros delitos contra la familia,71717.0,0.6
13,Violación simple,76915.0,0.6
9,Otros delitos que atentan contra la libertad y la seguridad sexual,37760.0,0.3
2,Acoso sexual,19617.0,0.2
12,Violación equiparada,20594.0,0.2
3,Corrupción de menores,13181.0,0.1
5,Hostigamiento sexual,8567.0,0.1
14,Violencia de género en todas sus modalidades distinta a la violencia familiar,16883.0,0.1
0,Aborto,3915.0,0.0
4,Feminicidio,4956.0,0.0
6,Incesto,194.0,0.0
10,Trata de personas,2868.0,0.0
11,Tráfico de menores,585.0,0.0
