,Tipo de delito,url,icono
0,Violencia familiar,https://violenciafamiliar.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/incumplir.png?raw=true
17,No asistencia familiar,https://delncumplimientoviofam.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/fight.svg?raw=true
1,Abuso sexual,https://abusosexual.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/abuso.png?raw=true
3,Contra libertad personal,https://delitovslibertadpersonal.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/vslibertad.png?raw=true
9,Violación,https://violaciones.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/violacion.png?raw=true
5,Contra la familia,https://delitovslafamilia.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/unomas.png?raw=true
2,Contra integridad corporal,https://delitootrosatentacontralavida.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/corporal.png?raw=true
6,Contra seguridad sexual,https://delitosseguridadsexual.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/seguridadsecual.PNG?raw=true
4,Acoso sexual,https://acososexual.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/acooso.PNG?raw=true
7,Distinta a violencia familiar,https://vgdistintavfam.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/otraaa.png?raw=true
12,Corrupción de menores,https://delitocorrupciondemenores.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/ventamenor.PNG?raw=true
10,Hostigamiento sexual,https://hostigamientosexual.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/sexual-harassment.svg?raw=true
11,Feminicidio,https://feminicidios.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/feminicidio.png?raw=true
14,Aborto,https://delitodeaborto.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/aborto.png?raw=true
13,Trata de personas,https://tratadepersonas.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/trata.PNG?raw=true
16,Tráfico de menores,https://traficodemenores.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/traficp.PNG?raw=true
15,Incesto,https://delitoincesto.herokuapp.com/,https://github.com/fdealbam/violenciadegenero/blob/main/application/static/incesto.PNG?raw=true
