delito,url
Violencia familiar,https://violenciafamiliar.herokuapp.com/
Incumplimiento de obligaciones de asistencia familiar,https://delncumplimientoviofam.herokuapp.com/
Abuso sexual,https://abusosexual.herokuapp.com/
Otros delitos contra la familia,https://delitovslibertadpersonal.herokuapp.com/
Violación simple,https://violaciones.herokuapp.com/
Otros delitos que atentan contra la libertad y la seguridad sexual,https://delitootrosatentacontralavida.herokuapp.com/
Acoso sexual,https://acososexual.herokuapp.com/
Violación equiparada,https://violaciones.herokuapp.com/
Corrupción de menores,https://delitocorrupciondemenores.herokuapp.com/
Hostigamiento sexual,https://hostigamientosexual.herokuapp.com/
Violencia de género en todas sus modalidades distinta a la violencia familiar,https://vgdistintavfam.herokuapp.com/
Aborto,https://delitodeaborto.herokuapp.com/
Feminicidio,https://feminicidios.herokuapp.com/
Incesto,https://delitoincesto.herokuapp.com/
Trata de personas,https://tratadepersonas.herokuapp.com/
Tráfico de menores,https://traficodemenores.herokuapp.com/
